order_id,order_date,customer_id,region,product_category,quantity_sold,unit_price,discounted_price,total_price,profit,salesperson,num_orders,total_spent,recency_days,avg_order_value,num_orders_by_sp,total_sales_by_sp,avg_profit_per_order_by_sp
b2852522-fbaa-43fa-b165-bd10e0035591,2019-01-02,6ac41f61-acf6-4e46-8b70-ad00ce01c9d0,North America,Sports,6,185.34,182.430162,1094.580972,866.9511063426361,Johnny Marshall,1,1094.580972,2188,1094.580972,61,67804.798966,913.3835523608234
f14eae78-235f-4283-a2cc-6433fd861c14,2019-01-04,04bb6a6a-a62a-4e79-a038-68758f215ccc,Asia,Home & Kitchen,5,40.98,39.25474199999999,196.27370999999997,79.64544331748766,Roger Brown,1,196.27370999999997,2186,196.27370999999997,54,68595.667163,1076.1212096324236
f5bbf818-b635-477e-8770-1decbf291623,2019-01-05,d2019210-5707-4c36-a4ca-98f10f130f64,Europe,Beauty,4,424.33,387.83762,1551.35048,1308.8761942857143,Sandra Luna,1,1551.35048,2185,1551.35048,56,72688.198308,1090.9576938669472
4e0d446a-1f42-4e52-9a96-c1b5d55b9db3,2019-01-09,215bad3f-a307-4a9c-be98-f5c2482c9d50,South America,Sports,6,323.25,232.67535,1396.0521,1157.7203429664028,Christina Thompson,1,1396.0521,2181,1396.0521,53,64491.182614000005,1021.7261378833904
309c6d54-7d7f-4b0d-8810-d307d21a2261,2019-01-13,60823426-df1d-4db7-acec-2ab59d60a3f7,North America,Books,6,155.51,155.494449,932.966694,713.2538395149188,Christina Thompson,1,932.966694,2177,932.966694,53,64491.182614000005,1021.7261378833904
60978bd9-93ce-4bba-87b4-f3923f7b5528,2019-01-14,4f1ae849-cf84-4ab2-a0ec-9e67de881f0d,Australia,Clothing,8,222.88,177.055872,1416.446976,1177.529360374051,Caitlyn Boyd,1,1416.446976,2176,1416.446976,58,71709.8323,1035.5858485437743
15db83a2-9ae9-4797-8f8c-f7f4c2eb95be,2019-01-14,1dc94815-f0f6-4d41-b59c-8d9d8da78ae0,North America,Clothing,5,445.69,342.379058,1711.89529,1465.8131104870195,Caitlyn Boyd,1,1711.89529,2176,1711.89529,58,71709.8323,1035.5858485437743
4df01473-1e30-4061-aae9-fe1a097ca22f,2019-01-15,e5e091c9-93f5-482b-81b1-56b6bc7e93de,Europe,Clothing,2,163.89,159.514137,319.028274,167.83720533026872,Caleb Camacho,1,319.028274,2175,319.028274,66,91544.242731,1177.604080808591
41b2ec45-1058-4c30-9ea6-fd324ae8fd2e,2019-01-21,8050d664-2709-4144-946c-03ca835103d4,Asia,Books,6,351.13,272.12575,1632.7545,1388.374074327965,Charles Smith,1,1632.7545,2169,1632.7545,70,95387.089343,1149.437576059358
febc8ee1-a99a-433d-9801-3122a9aa16e0,2019-01-21,6c741970-a178-4b03-b450-620c8525599c,North America,Toys,6,336.37,255.203919,1531.223514,1289.243787076376,Joseph Brooks,1,1531.223514,2169,1531.223514,60,60657.854394,824.8550359343124
cac09295-c995-4df1-86a1-8c8fd40bbf07,2019-01-24,b1ba495a-a1f6-4da4-bd7f-31868357cc05,Australia,Books,10,325.4,229.99272,2299.9272,2044.4563745809592,Caleb Camacho,1,2299.9272,2166,2299.9272,66,91544.242731,1177.604080808591
406ed6b4-9544-4583-8ea5-cf797fba06cf,2019-01-24,9cb907bd-b4b3-40d8-9350-1ec8ad157b75,North America,Electronics,5,338.23,325.546375,1627.731875,1383.4670598794983,Mary Scott,1,1627.731875,2166,1627.731875,63,77562.23517100001,1033.152899764227
